applicant_age,applicant_income,coapplicant_income,loan_amount,loan_term,credit_history,employment_status,education,marital_status,dependents,property_area,self_employed,existing_loans,monthly_expenses,savings,debt_to_income_ratio,loan_status,risk_category
58,29144,0,,48,1,Unemployed,Not Graduate,Married,2,Urban,No,1,10942,0,0.48,Rejected,High Risk
49,75230,22410,40000,36,1,Employed,Graduate,Married,0,Rural,No,0,40035,44297,0.56,Approved,Low Risk
25,17575,0,22000,24,1,Employed,Graduate,Single,1,Rural,No,0,8280,24782,0.47,Approved,High Risk
46,21190,0,16000,24,1,Employed,Not Graduate,Married,1,Rural,No,1,7205,20470,0.42,Approved,Low Risk
50,66986,0,,24,1,Employed,Graduate,Single,1,Urban,No,1,38484,139755,0.65,Approved,Low Risk
29,30256,0,16000,60,1,Employed,Graduate,Single,2,Rural,Yes,0,11072,30461,0.37,Approved,Low Risk
37,34184,24878,24000,120,1,Employed,Not Graduate,Married,0,Semiurban,No,0,11155,51838,0.33,Approved,Low Risk
49,49658,0,108000,180,1,Employed,Graduate,Single,1,Rural,No,2,22202,70171,0.6,Rejected,High Risk
40,43845,0,38000,24,1,Employed,Graduate,Single,3,Rural,Yes,2,14360,19829,0.54,Approved,Medium Risk
44,97932,0,59000,12,1,Employed,Graduate,Married,0,Semiurban,No,0,33841,110130,0.35,Approved,Low Risk
43,78813,55274,249000,12,1,Employed,Graduate,Married,0,Urban,No,0,24755,81684,0.32,Approved,Low Risk
38,101453,53005,130000,180,0,Employed,Graduate,Married,4,Rural,No,1,49439,32447,0.56,Rejected,Medium Risk
41,149253,0,71000,240,1,Employed,Not Graduate,Single,3,Semiurban,No,0,52885,112290,0.36,Approved,Low Risk
46,59819,0,73000,84,1,Employed,Graduate,Single,0,Rural,Yes,1,17495,51447,0.37,Approved,Low Risk
21,54395,53683,38000,48,1,Employed,Graduate,Married,0,Urban,Yes,4,19078,86252,0.65,Approved,Low Risk
35,101061,51061,215000,12,1,Employed,Not Graduate,Married,3,Urban,No,0,68379,93340,0.71,Approved,Low Risk
43,51894,98776,,60,1,Unemployed,Graduate,Married,4,Urban,No,0,23419,56238,0.45,Approved,Low Risk
29,170302,0,,60,1,Unemployed,Not Graduate,Single,3,Urban,No,1,67543,219737,0.47,Approved,Low Risk
21,25988,119024,57000,84,1,Employed,Not Graduate,Married,4,Rural,Yes,0,15067,14390,0.58,Approved,Low Risk
37,68735,61098,122000,48,1,Employed,Graduate,Married,3,Urban,No,0,37218,71982,0.57,Approved,Low Risk
38,51632,0,35000,360,0,Employed,Graduate,Single,,Semiurban,No,1,16440,25285,0.46,Rejected,Medium Risk
38,35130,0,16000,180,1,Employed,Graduate,Married,3,Urban,No,0,19191,56165,0.55,Approved,Low Risk
35,42705,0,67000,36,1,Employed,Graduate,Single,4,Rural,No,1,16834,26017,0.47,Approved,Medium Risk
40,16017,16027,33000,60,0,,Not Graduate,Married,1,Semiurban,No,0,8170,5956,0.54,Rejected,High Risk
58,36902,0,38000,36,1,Employed,Graduate,Married,0,Semiurban,No,0,14166,20045,0.38,Approved,Low Risk
44,47001,0,67000,12,1,Employed,Not Graduate,Single,4,Semiurban,No,0,21698,53343,0.51,Rejected,Medium Risk
38,28567,0,24000,240,1,Employed,Graduate,Single,2,Semiurban,No,0,14194,32419,0.54,Rejected,Low Risk
32,81622,0,48000,24,1,Employed,Graduate,Single,3,Semiurban,No,0,34069,86538,0.42,Approved,Low Risk
36,41461,23929,,120,1,Employed,Graduate,Married,1,Semiurban,No,0,16194,73959,0.39,Approved,Low Risk
40,61906,0,66000,36,,Employed,Graduate,Married,4,Rural,No,1,26693,29032,0.51,Rejected,High Risk
53,25852,39383,33000,60,1,Employed,Graduate,Married,0,Rural,No,0,8622,21836,0.38,Approved,Low Risk
52,47775,52499,93000,48,,Unemployed,Not Graduate,Married,4,Rural,No,0,32167,25352,0.67,Approved,High Risk
26,105641,0,154000,180,1,Employed,Graduate,Single,2,Semiurban,No,0,64970,99390,0.62,Approved,Low Risk
51,54792,0,23000,12,0,Unemployed,Not Graduate,Single,2,Semiurban,No,0,19233,28134,0.35,Rejected,High Risk
45,36587,0,23000,36,1,Unemployed,Graduate,Married,0,Rural,No,1,20764,82964,0.69,Rejected,Medium Risk
36,76370,26409,36000,60,1,Unemployed,Graduate,Married,3,Urban,No,1,29452,57101,0.46,Approved,Low Risk
31,25597,6278,16000,84,,Employed,Graduate,Married,1,Semiurban,No,0,9358,23678,0.37,Approved,Low Risk
53,61743,38419,43000,60,1,Employed,Not Graduate,Married,2,Rural,No,3,23264,67922,0.64,Rejected,Low Risk
38,35851,43532,74000,180,1,Employed,Graduate,Married,1,Rural,Yes,3,20454,75075,0.8,Approved,High Risk
46,28075,0,10000,48,1,Employed,Not Graduate,Married,0,Urban,No,0,8864,51899,0.34,Approved,Low Risk
40,85181,0,49000,48,0,Employed,Not Graduate,Single,0,Urban,No,0,25877,39594,0.33,Approved,Low Risk
56,42266,16918,34000,36,0,Employed,Graduate,Married,,Semiurban,No,1,16156,13520,0.46,Rejected,High Risk
31,31163,0,28000,84,1,Employed,Not Graduate,Single,2,Semiurban,No,1,15286,33317,0.57,Rejected,Medium Risk
28,25233,32737,53000,36,1,Employed,Graduate,Married,3,Semiurban,No,0,10934,46026,0.47,Approved,Low Risk
44,65425,13792,51000,48,,Employed,Graduate,Married,4,Semiurban,Yes,0,41223,10221,0.64,Approved,High Risk
37,18907,0,22000,48,0,Unemployed,Not Graduate,Married,4,Urban,No,1,6608,4866,0.42,Rejected,High Risk
57,36604,6772,34000,48,1,Employed,Not Graduate,Married,0,Urban,Yes,0,6846,70821,0.19,Approved,Low Risk
43,58850,0,43000,60,0,Employed,Graduate,Single,1,Urban,Yes,0,22269,28545,0.38,Approved,Low Risk
26,23612,0,12000,360,1,Unemployed,Graduate,Single,0,Rural,No,0,10350,13997,0.48,Approved,Medium Risk
46,85470,0,49000,36,1,Unemployed,Graduate,Single,1,Semiurban,No,3,40807,158678,0.72,Rejected,Medium Risk
43,31145,19662,55000,24,1,Unemployed,Not Graduate,Married,1,Semiurban,No,0,10163,16180,0.36,Approved,Low Risk
37,58746,0,112000,240,1,Employed,Not Graduate,Single,1,Urban,No,0,16965,91249,0.29,Approved,Low Risk
35,31701,0,44000,24,1,Employed,Graduate,Single,0,Urban,Yes,1,18706,32727,0.68,Rejected,High Risk
29,67522,0,51000,60,1,Employed,Not Graduate,Married,1,Urban,No,1,32391,125084,0.59,Approved,Low Risk
44,45366,45464,93000,240,1,Employed,Graduate,Married,0,Rural,No,2,19180,53401,0.58,Approved,Low Risk
